3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
come on baby.,you gonna eat it.,that's a bird.,oh.,can you see the lights.,okay.,and mommy.,hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm hm,here's some crackers.,oh.,oh look at the dog's nose.,and the tires.,you're going to play with my big sister.,that's Mommy's.,where's your cat.,how about a house that you live in.,you got a red one.,you see the goat over there.,yes.,yeah.,and then you go back to where you started.,yeah.,I think they're both on the same side.,you know what.,there's a lot of animals in here.,right.,you wanna have some of that.,and this is a beetle.
what a big house it is.,look at that one.,bird.,oh look.,that's my bed.,and what's that.,can you give me a big hug.,here it's a bowl.,you can see the pear.,oh yeah.,you know what? I'll put it up.,that's a car.,oh I'm sorry.,you can't touch that.,right.,oh I see you've got some new furniture in here.,oh you know what I know what's that.,that's the chicken.,okay.,that's a big dog.,this one has a tire on it.,the kitten's going to go in there.,yes.,he's not gonna be able to be a dog anymore.,okay.,okay.,you can't get the peanut butter.,that's okay.
yeah that's a house.,right.,bird.,what are these.,that's the table.,what's that.,right.,okay.,let's have a little bit of this one.,oh yeah.,there's a picture of a dog on the page.,oh.,the boy was trying to be a good brother.,you gotta put this in there.,we have a cat and a dog and we really love them both.,you're gonna go and put that in the trash.,no no.,well it's an animal.,yeah.,it's a puppy.,yeah.,a snake.,yeah.,what's that.,what's that.,what's this.,yeah.,oh look at the lion.
okay.,oh they're not working.,there's a bird there.,you have some red blocks in there.,and the doorbell rings.,oh I'm sorry what did I do.,did you see the cows in the field.,yeah you did.,are there any more.,and then mommy and daddy were happy.,do you see that dog there.,they make tires.,we're going to have to put that in the recycling bin.,I like you.,she's playing with her toys.,you know what that's called.,"uh, you know what, um, I'm gonna go get it now.",it's a fish.,and you can just have the whole thing.,can you say the word dog.,I think she was playing with the toys.,that's right.,oh.,that's a puppy.,they're all right there.,what kind of crayons are these.,a big bowl.,so if you're at a pizza place.
and we're gonna go outside.,and they're a toy.,and the bird is flying.,oh that's right.,yeah.,that's what we're going to do.,yeah.,you wanna take it out.,here's some more cereal.,where does the mom go.,oh my goodness.,and there's the car.,you wanna say something.,how do you think it's gonna go.,that's right that's right.,and they go to work in the morning and they come home at night.,and it has a radio in it.,you know what I'm going to do.,okay.,what's the dog's name.,and he puts the ball in his mouth.,it's a turtle.,are those your toys.,wanna put them in a box.,yeah.,what's that.,you're eating.,right.
okay.,ball.,bird.,I'll show you.,what's that.,look at the toys.,and the little bunny.,here's a little bit more.,you put your fingers in your mouth.,you can put it on the chair.,what's that.,see the wheels.,well it was so nice that you came.,they're very good friends.,he was in a cat.,he's going to be all right.,okay.,I don't know.,oh that's a nice turtle.,oh no.,I think this one.,the goats are the cute ones.,yeah.,and he likes to lay down and sleep on your bed and you know like he's going to sleep in there.,that's a duck.,yeah.,there's a chicken and there's a chicken and there's a chicken and there's a chicken.,I don't know.
house.,yeah.,we're gonna go see a bird.,this is a red ball.,yeah.,this one has a red face.,wanna have some peanut butter and jelly.,oh let's eat.,no.,yeah.,I think it's the dog's.,and you can go fast.,yeah they're my grandmother and my grandpa.,oh.,there's a cat there.,he's in the house.,yeah.,so we can look at the photos.,oh.,it's a poodle.,they're gonna be together.,there was a big tiger.,okay what else do you want to do.,you can't put your feet in that.,I'll get him.,yeah.,she's sitting there.,and then you'll have the fish and the bird and the cow and the dog.
okay.,look at that little mouse.,what's that.,I'm gonna get the bird.,there's a toy truck.,and the pig.,that's a hawk.,I'm sorry I don't have any pictures of a cat.,they're like.,and now.,I'm going to make you a nice breakfast.,let's have lunch with them.,wow.,the kitty's on the bed.,well he's not a very good dog.,he's not going to sit on the floor.,the car and the train.,yeah we're in the car.,they're just like this.,where's your dog.,do you want me to take you somewhere with a car.,you're really gonna play with it.,it's a little car.,it's a little bit like a panda bear.,the cat is running.,they're gonna be there for the rest of their life.,go ahead and start it.,you can look at the dogs.
wow.,you wanna go see some monkeys.,mmm.,what's that.,what are they.,yeah.,no we don't put the bird on the chair.,and he's gonna eat it.,what's this.,yeah.,well we don't.,where's mommy's car.,oh yeah.,there's a door there.,oh that's a good boy.,there's a cat in the box.,no he didn't put it in there.,oh I see it's got a tire.,there's a bird.,and the dog's name is Duke.,see the car.,what's that.,it's a car.,and that's a giraffe.,you can get a cat.,what's that.,can you open it.,what's this.
yeah you're right you're right.,look at the little bunny.,oh.,you know what it says.,here's the truck.,okay.,bird.,oh the cat's a lion.,and the other one's a chicken.,yes.,Mommy's and Daddy's.,and that's my sister.,she doesn't like to clean.,oh.,do you see a dog in there.,that's a cat.,wanna play with.,there's a car on this side of the road.,that's a bird.,I mean he's a big boy.,and they can take you where you wanna go.,oh those are my little trucks.,you're right.,you want to see the sheep.,oh that's a nice big kitty.,I think he was a little bit scared of the dog.,I'll bring it back to the car.,oh he's so cute.
yeah.,goat.,you want to eat some.,oh yeah.,you don't want to throw the ball.,the ducks are swimming.,there's a big bird flying over there.,yeah they have cute ears.,you're doing great.,it's a big truck.,yeah we have a lot of kids.,okay.,you can't make any more.,there's the kitchen table.,and the dog.,you wanna see the cat.,okay.,he's a fire truck.,a gull.,we're going to go see the dog at the pet store.,do you wanna go to the car.,what's in the box.,yeah.,yeah.,oh that's good.,where is your dog.,yeah they're really fast.,they're dogs that are used for hunting and stuff.
and your mommy and your daddy.,that's a lion.,yeah you eat that.,look at this.,oh we have more.,yes.,look there's a bird.,do you know where your cat is.,the rabbit.,go there.,what did he say.,it's time for bed.,yeah.,you're going to paint the walls.,you're talking about the poodle.,wanna go get the cat and put it in the kitty box.,and then there was a little boy and a little girl and they were playing with their toys.,no.,there's a bird on the roof.,they're very good at it.,there's a car.,do you know what this is.,there's a car parked outside.,see this duck and this little duck.,I'm sorry.,where's your dog.,you're gonna take it in for a look at.,he wants you to feed him.
let's give them some kisses.,and they're like the bunnies.,yum yum.,there's a bird.,oh look at the blocks.,what's that.,we're gonna get a bird.,come on.,yeah that's a little chick.,where's the car.,no you're right.,he's a big man.,okay.,yeah.,and then we put a collar on the dog and we clip it to the leash and then we can walk around with the dog.,there's a kitty.,you're gonna have to put them back on the rack.,oh I have it.,oh.,oh you're a dog.,that's right.,yeah.,I have a car.,what about this one.,you see the cat is sitting right there.,this is a picture of a puppy.,oh I'll put it on the car.,you have a dog.
that's mommy.,wanna hear a story about a little pig.,you're a good eater.,the bird is coming down.,yeah that's a ball.,look at this bird.,wanna see a bird.,oh you gotta be careful with the cat.,okay.,there.,I'm a little tired.,I think it's a baby.,yes.,and we go on trips.,he's not a good dog.,what's that.,and a toy.,it's kind of a weird car.,that's a hawk.,you know what I'm saying.,okay.,I wanna take the block from the back.,you wanna go for a ride in a car?,oh it's a really beautiful horse.,what is that.,we're going to the zoo.,you see what I can't fix.,what's this.
there's Daddy and Mommy.,I love the animals.,yeah that's right.,look at the bird.,there's one toy on the floor.,and a donkey.,see those wings and the tail.,yeah that's a cat.,and the baby giraffe eats the leaves.,they're taking you home.,no.,oh that's your little baby.,no.,okay.,and they don't have to bite.,the cat.,oh.,there's a car.,and I'll see you later.,you're gonna need a little bit of dog food.,you have a seat.,I'm gonna go to the library and get more books.,wow.,yeah.,oh that's a nice cat.,can we take care of our dog.,no you're not.,it's a little too big for me.
it's a family.,here's a little dog.,I'm gonna go get you some peas.,here's a bird.,the dog.,we'll see a little animal.,it's a bird.,no.,see those are the animals.,I think it's called a truck.,you can't get a piece of paper without a pen.,right.,we're going to look in the living room.,okay.,that's a good one.,no he's a boy cat.,here's a little toy.,you put your hat on.,look at that bird.,and they were walking down the street.,you know.,I'm going to put that in your bag.,a car.,you wanna put that on your nose.,that's a cat.,and they're very smart dogs.,well you can't really see it but it's on the back of the car.,there's a dog.
Daddy and Mommy.,look at the chickens.,and.,there's a bird in the bush.,you can use it to.,a giraffe.,he's a bird.,let's look at these pictures.,where's your cow.,that's a good car.,and then she'll have to take her mommy out to eat.,he's just like his father.,you can put your stuffed animal in the bedroom.,you know what I'm gonna do.,okay.,yeah.,oh what's that.,well that's okay.,a bird.,and then the little dog came.,it's the one that the lady said she could take care of her car.,there's a dinosaur.,that's a car.,well what do they look like.,what's the name of this cat.,we'll have a dog when you're a little bit bigger.,the car starts up.,oh my.
you know.,do you know where the cat goes.,you want to eat it.,that's a big bird.,what's that.,can you say wolf.,bird.,cat.,look at that one.,oh.,okay.,that's what she was.,that's the bedroom.,you know what.,oh I like my dog.,there's a big cat in the yard.,where's the toy.,I don't see anything in the car.,you want a bird.,we need to let the dog out.,uh.,what is this.,go to the car.,you wanna get the cat out.,I'm gonna be a cat.,she's a good dog.,you're driving.,what kind of dog is that.
